,SNo,Date,RegionCode,RegionName,ProvinceCode,ProvinceName,ProvinceAbbreviation,Latitude,Longitude,TotalPositiveCases
7171,7171,2020-04-20T17:00:00,13,Abruzzo,69,Chieti,CH,42.35103167,14.16754574,606
7170,7170,2020-04-20T17:00:00,13,Abruzzo,68,Pescara,PE,42.46458398,14.21364822,1143
7169,7169,2020-04-20T17:00:00,13,Abruzzo,67,Teramo,TE,42.6589177,13.70439971,626
7168,7168,2020-04-20T17:00:00,13,Abruzzo,66,L'Aquila,AQ,42.35122196,13.39843823,237
31410,31410,2020-10-09T17:00:00,13,Abruzzo,66,L'Aquila,AQ,42.35122196,13.39843823,752
31411,31411,2020-10-09T17:00:00,13,Abruzzo,67,Teramo,TE,42.6589177,13.70439971,931
31412,31412,2020-10-09T17:00:00,13,Abruzzo,68,Pescara,PE,42.46458398,14.21364822,2005
31413,31413,2020-10-09T17:00:00,13,Abruzzo,69,Chieti,CH,42.35103167,14.16754574,1148
7043,7043,2020-04-19T17:00:00,13,Abruzzo,69,Chieti,CH,42.35103167,14.16754574,571
7042,7042,2020-04-19T17:00:00,13,Abruzzo,68,Pescara,PE,42.46458398,14.21364822,1094
7041,7041,2020-04-19T17:00:00,13,Abruzzo,67,Teramo,TE,42.6589177,13.70439971,619
7040,7040,2020-04-19T17:00:00,13,Abruzzo,66,L'Aquila,AQ,42.35122196,13.39843823,237
31560,31560,2020-10-10T17:00:00,13,Abruzzo,67,Teramo,TE,42.6589177,13.70439971,960
6529,6529,2020-04-15T17:00:00,13,Abruzzo,67,Teramo,TE,42.6589177,13.70439971,605
6528,6528,2020-04-15T17:00:00,13,Abruzzo,66,L'Aquila,AQ,42.35122196,13.39843823,229
32304,32304,2020-10-15T17:00:00,13,Abruzzo,66,L'Aquila,AQ,42.35122196,13.39843823,1083
32903,32903,2020-10-19T17:00:00,13,Abruzzo,69,Chieti,CH,42.35103167,14.16754574,1347
5891,5891,2020-04-10T17:00:00,13,Abruzzo,69,Chieti,CH,42.35103167,14.16754574,392
5890,5890,2020-04-10T17:00:00,13,Abruzzo,68,Pescara,PE,42.46458398,14.21364822,838
5889,5889,2020-04-10T17:00:00,13,Abruzzo,67,Teramo,TE,42.6589177,13.70439971,571
5888,5888,2020-04-10T17:00:00,13,Abruzzo,66,L'Aquila,AQ,42.35122196,13.39843823,213
33049,33049,2020-10-20T17:00:00,13,Abruzzo,66,L'Aquila,AQ,42.35122196,13.39843823,1432
33050,33050,2020-10-20T17:00:00,13,Abruzzo,67,Teramo,TE,42.6589177,13.70439971,1372
33051,33051,2020-10-20T17:00:00,13,Abruzzo,68,Pescara,PE,42.46458398,14.21364822,2232
33052,33052,2020-10-20T17:00:00,13,Abruzzo,69,Chieti,CH,42.35103167,14.16754574,1393
5763,5763,2020-04-09T17:00:00,13,Abruzzo,69,Chieti,CH,42.35103167,14.16754574,369
5762,5762,2020-04-09T17:00:00,13,Abruzzo,68,Pescara,PE,42.46458398,14.21364822,805
5761,5761,2020-04-09T17:00:00,13,Abruzzo,67,Teramo,TE,42.6589177,13.70439971,558
5760,5760,2020-04-09T17:00:00,13,Abruzzo,66,L'Aquila,AQ,42.35122196,13.39843823,199
33198,33198,2020-10-21T17:00:00,13,Abruzzo,66,L'Aquila,AQ,42.35122196,13.39843823,1536
33199,33199,2020-10-21T17:00:00,13,Abruzzo,67,Teramo,TE,42.6589177,13.70439971,1426
33200,33200,2020-10-21T17:00:00,13,Abruzzo,68,Pescara,PE,42.46458398,14.21364822,2285
33201,33201,2020-10-21T17:00:00,13,Abruzzo,69,Chieti,CH,42.35103167,14.16754574,1424
5635,5635,2020-04-08T17:00:00,13,Abruzzo,69,Chieti,CH,42.35103167,14.16754574,361
5634,5634,2020-04-08T17:00:00,13,Abruzzo,68,Pescara,PE,42.46458398,14.21364822,771
5633,5633,2020-04-08T17:00:00,13,Abruzzo,67,Teramo,TE,42.6589177,13.70439971,530
5632,5632,2020-04-08T17:00:00,13,Abruzzo,66,L'Aquila,AQ,42.35122196,13.39843823,197
33347,33347,2020-10-22T17:00:00,13,Abruzzo,66,L'Aquila,AQ,42.35122196,13.39843823,1663
33348,33348,2020-10-22T17:00:00,13,Abruzzo,67,Teramo,TE,42.6589177,13.70439971,1526
33349,33349,2020-10-22T17:00:00,13,Abruzzo,68,Pescara,PE,42.46458398,14.21364822,2321
33350,33350,2020-10-22T17:00:00,13,Abruzzo,69,Chieti,CH,42.35103167,14.16754574,1469
5507,5507,2020-04-07T17:00:00,13,Abruzzo,69,Chieti,CH,42.35103167,14.16754574,343
5506,5506,2020-04-07T17:00:00,13,Abruzzo,68,Pescara,PE,42.46458398,14.21364822,756
5505,5505,2020-04-07T17:00:00,13,Abruzzo,67,Teramo,TE,42.6589177,13.70439971,511
5504,5504,2020-04-07T17:00:00,13,Abruzzo,66,L'Aquila,AQ,42.35122196,13.39843823,189
32902,32902,2020-10-19T17:00:00,13,Abruzzo,68,Pescara,PE,42.46458398,14.21364822,2204
32901,32901,2020-10-19T17:00:00,13,Abruzzo,67,Teramo,TE,42.6589177,13.70439971,1333
32900,32900,2020-10-19T17:00:00,13,Abruzzo,66,L'Aquila,AQ,42.35122196,13.39843823,1367
6016,6016,2020-04-11T17:00:00,13,Abruzzo,66,L'Aquila,AQ,42.35122196,13.39843823,218
32305,32305,2020-10-15T17:00:00,13,Abruzzo,67,Teramo,TE,42.6589177,13.70439971,1095
32306,32306,2020-10-15T17:00:00,13,Abruzzo,68,Pescara,PE,42.46458398,14.21364822,2127
32307,32307,2020-10-15T17:00:00,13,Abruzzo,69,Chieti,CH,42.35103167,14.16754574,1258
6403,6403,2020-04-14T17:00:00,13,Abruzzo,69,Chieti,CH,42.35103167,14.16754574,469
6402,6402,2020-04-14T17:00:00,13,Abruzzo,68,Pescara,PE,42.46458398,14.21364822,947
6401,6401,2020-04-14T17:00:00,13,Abruzzo,67,Teramo,TE,42.6589177,13.70439971,601
6400,6400,2020-04-14T17:00:00,13,Abruzzo,66,L'Aquila,AQ,42.35122196,13.39843823,228
32453,32453,2020-10-16T17:00:00,13,Abruzzo,66,L'Aquila,AQ,42.35122196,13.39843823,1172
32454,32454,2020-10-16T17:00:00,13,Abruzzo,67,Teramo,TE,42.6589177,13.70439971,1131
32455,32455,2020-10-16T17:00:00,13,Abruzzo,68,Pescara,PE,42.46458398,14.21364822,2142
32456,32456,2020-10-16T17:00:00,13,Abruzzo,69,Chieti,CH,42.35103167,14.16754574,1290
6275,6275,2020-04-13T17:00:00,13,Abruzzo,69,Chieti,CH,42.35103167,14.16754574,465
6274,6274,2020-04-13T17:00:00,13,Abruzzo,68,Pescara,PE,42.46458398,14.21364822,930
6273,6273,2020-04-13T17:00:00,13,Abruzzo,67,Teramo,TE,42.6589177,13.70439971,598
30965,30965,2020-10-06T17:00:00,13,Abruzzo,68,Pescara,PE,42.46458398,14.21364822,1964
6272,6272,2020-04-13T17:00:00,13,Abruzzo,66,L'Aquila,AQ,42.35122196,13.39843823,220
32603,32603,2020-10-17T17:00:00,13,Abruzzo,67,Teramo,TE,42.6589177,13.70439971,1203
32604,32604,2020-10-17T17:00:00,13,Abruzzo,68,Pescara,PE,42.46458398,14.21364822,2163
32605,32605,2020-10-17T17:00:00,13,Abruzzo,69,Chieti,CH,42.35103167,14.16754574,1305
6147,6147,2020-04-12T17:00:00,13,Abruzzo,69,Chieti,CH,42.35103167,14.16754574,452
6146,6146,2020-04-12T17:00:00,13,Abruzzo,68,Pescara,PE,42.46458398,14.21364822,889
6145,6145,2020-04-12T17:00:00,13,Abruzzo,67,Teramo,TE,42.6589177,13.70439971,599
6144,6144,2020-04-12T17:00:00,13,Abruzzo,66,L'Aquila,AQ,42.35122196,13.39843823,220
32751,32751,2020-10-18T17:00:00,13,Abruzzo,66,L'Aquila,AQ,42.35122196,13.39843823,1287
32752,32752,2020-10-18T17:00:00,13,Abruzzo,67,Teramo,TE,42.6589177,13.70439971,1278
32753,32753,2020-10-18T17:00:00,13,Abruzzo,68,Pescara,PE,42.46458398,14.21364822,2196
32754,32754,2020-10-18T17:00:00,13,Abruzzo,69,Chieti,CH,42.35103167,14.16754574,1339
